Name,Year Founded,Age,Industry 1,Industry 2,R&D Origin,Active Patents,Product Type 1,Product Type 2,Product Type 3,Number of Founders,Number of Technical Founders,Technicality Percentage,Founder 1 Experience,Founder 2 Experience,Founder 3 Experience,Founder 1 Background,Founder 2 Background,Founder 3 Background,Founder 1 Education,Founder 2 Education,Founder 3 Education,Scalability Index,Target Customers 1,Target Customers 2,Target Customers 3,Revenue Model 1,Revenue Model 2,Morality Score,"""Wait What"" Score",Problem Urgency Score,VC Funding,Grant Funding,Debt Financing,Preseed (Accelerator),Seed,Series A,Series B,Series C,Series D,Series E,Series F,Series G+,Valuation Multiple,Exit?,Year Exited,Exit Valuation,Exit Multiple,YTD Funding,YTD Valuation,YTD Multiple,Post-Series B?,Lux Partner,Notes,
Echodyne,2014,8,Radar,Infrastructure,Academia,5,Hardware,,,2,1,0.500,First time founders,First time founders,,Big tech background,Academia background,,Master's,Faculty,,5,Government,Businesses,,Contracts,,5,7,3,64,0.57,0,,,37.5,94,140,,,,,3.73,Didn't Exit,,,,64.57,140,3.73,Yes,Josh Wolfe,,
Eikon Therapeutics,2019,3,BioTech,Infrastructure,Academia,0,Hardware,Software,Service,4,4,1.000,First time founders,First time founders,First time founders,Academia background,Academia background,Academia background,Faculty,Faculty,Faculty,7,Businesses,University,Government,Contracts,,10,9,7,665.8,0,0,,,248,3020,,,,,,12.18,Didn't Exit,,,,665.8,3020,12.18,Yes,Josh Wolfe,One founder was Nobel Prize winner,
Enveda Biosciences,2019,3,BioTech,AI,Academia,0,Service,Data,Biology,2,2,1.000,First time founders,First time founders,,Big tech background,Academia background,,PhD,Faculty,,5,Businesses,University,Government,Contracts,,10,7,7,56,0,0,,14,100.13,,,,,,,7.15,Didn't Exit,,,,56,100.13,7.15,,,,
Epsilon3,2020,2,Aerospace,Infrastructure,Corporation,0,Software,,,3,2,0.667,First time founders,Repeat founders,Repeat founders,Big tech background,Big tech background,Startup background,Master's,Master's,Bachlor's,7,Businesses,Government,,Contracts,Unit Sale,5,1,2,3.8,0,0,,1,3.8,,,,,,,3.80,Didn't Exit,,,,3.8,3.8,3.80,,Shahin Farshchi,,
Everly Health,2015,7,HealthTech,,Other,0,Software,Biology,Service,1,0,0.000,First time founders,,,Other,,,Master's,,,5,Consumers,Businesses,,Unit Sale,Contracts,10,2,7,466.1,0,0,,7.5,32.8,155,225,1300,2900,,,386.67,Didn't Exit,,,,466.1,2900,386.67,Yes,Deena Shakir,"Founder went from Deloitte to Bush Foundation to FinTech then to HealthTech, nontechnical",
Everspin Technologies,2008,8,Infrastructure,,Corporation,173,Hardware,,,1,1,1.000,First time founders,,,Big tech background,,,PhD,,,6,Businesses,Government,,Contracts,,5,5,3,122,0,0,,,54.92,59.92,75.73,89.5,,,,,IPO,2016,99.94,1.82,122,99.94,1.82,Yes,Peter Hebert,"Bought up IP from Freescale, cofounded with a bunch of VCs",
Evolv Technology,2013,8,Security,AI,Other,4,Hardware,Software,,2,0,0.000,First time founders,Repeat founders,,Big tech background,Startup background,,Master's,Bachlor's,,6,Businesses,Government,University,Unit Sale,Contracts,7,7,4,424.93,0,5,,,43.82,38,62.58,100,,,,,IPO,2021,1700,38.80,429.93,1700,38.80,Yes,Bilal Zuberi,Incubated from General Catalyst,
Fiddler,2018,4,AI,,Other,0,Software,,,3,3,1.000,First time founders,Exited founders,First time founders,Big tech background,Big tech background,Big tech background,Master's,Master's,Bachlor's,8,Businesses,,,Subscription,Contracts,5,3,3,45.2,0,0,,12,37.5,150,,,,,,12.50,Didn't Exit,,,,45.2,150,12.50,Yes,Bilal Zuberi,One founder exited 2 companies to big tech,
Flex Logix,2014,8,Infrastructure,,Academia,19,Hardware,,,3,2,0.667,First time founders,First time founders,First time founders,Big tech background,Academia background,Academia background,Master's,PhD,Faculty,6,Businesses,,,Contracts,Unit Sale,5,5,3,85,0,0,,,1.7,27.4,65,75,235,,,138.24,Didn't Exit,,,,85,235,138.24,Yes,Shahin Farshchi,Founder was Board on Everspin,
Formic,2020,2,Robotics,AI,Other,0,Hardware,Software,,2,1,0.500,Repeat founders,First time founders,,Finance background,Big tech background,,Master's,Bachlor's,,6,Businesses,,,Subscription,,5,4,3,131.73,0,100,,17.23,100,,,,,,,5.80,Didn't Exit,,,,231.73,100,5.80,,Shahin Farshchi,,
FTX,2019,3,Blockchain,FinTech,Other,0,Service,Software,,2,1,0.500,Repeat founders,First time founders,,Big tech background,Finance background,,Bachlor's,Bachlor's,,9,Consumers,Businesses,,Other,,5,2,1,1970,0,0,,,1200,18000,25000,32500,,,,27.08,Didn't Exit,,,,1970,32500,27.08,Yes,Brandon Reeves,,
G2X Energy,2012,4,Energy,ClimateTech,Other,0,Service,Other,,1,0,0.000,First time founders,,,Big tech background,,,Bachlor's,,,6,Businesses,Government,,Contracts,,3,3,3,30.01,0,0,,,46.95,,,,,,,1.00,M&A,2016,,,30.01,46.95,1.00,,Peter Hebert,,
Gameto,2020,2,BioTech,,Academia,0,Biology,,,2,1,0.500,Repeat founders,Exited founders,,Academia background,Big tech background,,PhD,Master's,,8,Consumers,,,Unit Sale,,10,5,7,23,0,0,,33,70,,,,,,,2.12,Didn't Exit,,,,23,70,2.12,,Deena Shakir,Master's founder has exited 4x in HealthTech industry,
Gandeeva Therapeutics,2021,1,BioTech,AI,Academia,0,Biology,Software,Service,1,1,1.000,First time founders,,,Academia background,,,Faculty,,,5,Businesses,Government,University,Contracts,,10,5,7,40,0,0,,,160,,,,,,,1.00,Didn't Exit,,,,40,160,1.00,,,,
Genocea Biosciences,2006,8,BioTech,,Academia,8,Biology,Software,,5,4,0.800,Exited founders,Exited founders,First time founders,Academia background,Startup background,Finance background,Faculty,Master's,PhD,5,Businesses,Consumers,Government,Contracts,Unit Sale,10,8,7,161,2.7,0,,6.76,37.34,69.06,102.27,,,,,,IPO,2014,206.61,30.56,163.7,206.61,30.56,Yes,,Lux founded company,
H1,2017,5,HealthTech,,Other,0,Data,Software,,2,1,0.500,Exited founders,Repeat founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,8,Businesses,Consumers,,Contracts,,7,1,2,170.9,0,0,,,32.9,258,788.81,,,,,23.98,Didn't Exit,,,,170.9,788.81,23.98,Yes,Deena Shakir,,
Hadrian,2020,2,Manufacturing,Infrastructure,Other,0,Service,Hardware,,1,0,0.000,Repeat founders,,,Startup background,,,High School,,,7,Businesses,Government,,Contracts,,6,6,3,136.5,0,0,,16.23,267,,,,,,,16.45,Didn't Exit,,,,136.5,267,16.45,,Brandon Reeves,Chris Power,
Halo Neuroscience,2013,8,NeuroTech,HealthTech,Corporation,9,Hardware,Software,,3,1,0.333,First time founders,First time founders,Exited founders,Big tech background,Big tech background,Startup background,PhD,Master's,PhD,6,Consumers,Businesses,,Unit Sale,Contracts,7,10,3,11.67,0,1.75,,0.6,24.52,71.76,,,,,,119.60,M&A,2021,,,13.42,71.76,119.60,Yes,,,
Hangar Technology,2016,3,Drones,,Other,0,Data,Software,,3,1,0.333,Repeat founders,First time founders,Exited founders,Startup background,Big tech background,Startup background,Master's,Bachlor's,Bachlor's,6,Businesses,,,Contracts,,5,2,2,12.5,0,0,,15,36,,,,,,,2.40,M&A,2019,,,12.5,36,2.40,,Bilal Zuberi,"Cofounders: ex-CEO of DJI, 3x exited founder; exited to AirMap",
Happiest Baby,2001,21,HealthTech,,Academia,1,Hardware,,,2,1,0.500,Repeat founders,Repeat founders,,Academia background,Other,,PhD,Bachlor's,,7,Consumers,,,Unit Sale,Subscription,7,4,4,78,0,0,,,37.74,77,162.23,195,,,,5.17,Didn't Exit,,,,78,195,5.17,Yes,Bilal Zuberi,,
Higharc,2018,4,AI,PropTech,Corporation,0,Software,Service,,4,3,0.750,First time founders,First time founders,First time founders,Startup background,Big tech background,Big tech background,Master's,Master's,Master's,6,Consumers,Businesses,,Unit Sale,Contracts,5,2,2,25.7,0,0.25,,13.5,81,,,,,,,6.00,Didn't Exit,,,,25.95,81,6.00,,Bilal Zuberi,"Founder was VP Marketing at Desktop Metal, rest are Autodesk engineers",
Hugging Face,2016,6,AI,,Other,0,Software,,,3,2,0.667,Repeat founders,Repeat founders,First time founders,Startup background,Startup background,Other,Master's,Master's,PhD,7,Consumers,Businesses,,Subscription,Contracts,5,1,1,164.91,0,0,,,79.71,440,2000,,,,,25.09,Didn't Exit,,,,164.91,2000,25.09,Yes,Brandon Reeves,,
Kala Pharmaceuticals,2009,8,BioTech,NanoTech,Academia,19,Biology,Service,,3,2,0.667,First time founders,First time founders,Repeat founders,Academia background,Big tech background,Finance background,PhD,PhD,Bachlor's,5,Businesses,,,Contracts,,10,7,7,320.25,0.44,110,,19,27.91,55.99,80.03,151.95,,,,,IPO,2017,349.25,18.38,430.69,349.25,18.38,Yes,,"Lux founded, Robert Paull was Cofounder and Managing Partner at Lux",
Kallyope,2015,7,BioTech,NeuroTech,Academia,0,Service,Biology,,3,3,1.000,Exited founders,First time founders,Exited founders,Academia background,Academia background,Academia background,Faculty,Faculty,Faculty,5,Businesses,Government,University,Contracts,,10,8,7,479,0,0,,,67,202.26,462,1140,,,,17.01,Didn't Exit,,,,479,1140,17.01,Yes,Josh Wolfe,"Lux founded, Richard Axel (odor tech and 2004 Nobel Prize), Charles Zucker",
Kurion,2008,8,Energy,NanoTech,Corporation,8,Service,,,3,1,0.333,First time founders,First time founders,Exited founders,Other,Big tech background,Finance background,PhD,Master's,Bachlor's,3,Government,Businesses,,Contracts,,10,7,6,11.3,10,10,,5.2,,,,,,,,,M&A,2016,359,69.04,31.3,359,69.04,,Josh Wolfe,Lux founded,
Kymeta,2012,10,Connectivity,Infrastructure,Corporation,34,Hardware,Service,Software,1,1,1.000,First time founders,,,Academia background,,,Postdoc,,,6,Businesses,Government,,Contracts,,6,4,3,524.87,0.12,0,,,13,27,114,215.75,458.58,,,35.28,Didn't Exit,,,,524.99,458.58,35.28,Yes,Josh Wolfe,"Intellectual Ventures spinout, Bill Gates on board",
Kyruus,2010,12,HealthTech,,Other,1,Data,Service,,3,1,0.333,Exited founders,First time founders,First time founders,Startup background,Big tech background,Startup background,PhD,Master's,Master's,8,Businesses,Government,,Subscription,,7,1,5,156.09,0,0,,,10.7,46,133.99,302.35,,,,28.26,Didn't Exit,,,,156.09,302.35,28.26,Yes,,"Julie Yoo is a cofounder, SWE --> PM --> VP Product --> Cofounder/CPO --> a16z GP. Adam Goulburn wrote angel check in 2021",
LabGenius,2012,10,BioTech,AI,Other,1,Software,Hardware,Biology,1,1,1.000,First time founders,,,Academia background,,,PhD,,,7,Businesses,Government,University,Contracts,,10,7,7,28.85,1.4,0,,4.34,24.8,52.82,,,,,,12.17,Didn't Exit,,,,30.25,52.82,12.17,Yes,,Founder did 3 years undergrad 1 year masters 4 years PhD and founded company while doing PhD,
Latch,2013,8,IoT,Infrastructure,Other,4,Hardware,Software,,4,1,0.250,Repeat founders,First time founders,First time founders,Startup background,Startup background,Big tech background,Master's,Master's,Bachlor's,8,Businesses,Government,,Contracts,,5,7,2,372.02,0,0,0.33,11.2,24.5,50,411.76,,,,,,IPO,2021,1560,139.29,372.02,1560,139.29,Yes,,SPAC,
Lightform,2014,8,CV,VR/AR,Academia,2,Hardware,Software,,3,3,1.000,First time founders,Repeat founders,First time founders,Academia background,Startup background,Academia background,PhD,PhD,PhD,6,Consumers,Businesses,,Unit Sale,,5,6,1,15.3,0.93,0.49,,8.25,20,38.65,0,,,,,0.00,Didn't Exit,,,,16.72,0,0.00,Yes,Bilal Zuberi,"Shutting down in 2022, 3 UIUC CS PhDs",
Looking Glass,2014,8,VR/AR,,Other,6,Software,Hardware,,2,1,0.500,First time founders,Repeat founders,,Other,Other,,Bachlor's,Bachlor's,,7,Consumers,Businesses,,Unit Sale,,5,9,1,30.13,0,0,,8.21,22.33,47.47,109.45,,,,,13.33,Didn't Exit,,,,30.13,109.45,13.33,Yes,Josh Wolfe,"2 MIT bachelors, did random tech/startup things before founding",
Lumafield,2019,3,CV,Infrastructure,Corporation,0,Hardware,Software,,2,2,1.000,Exited founders,Repeat founders,,Startup background,Startup background,,Master's,Bachlor's,,7,Consumers,Businesses,,Subscription,,5,7,2,32.59,0,0,,,22.09,97.5,,,,,,4.41,Didn't Exit,,,,32.59,97.5,4.41,Yes,Bilal Zuberi,Formlabs spinout,
Luxtera,2001,18,Semiconductors,Infrastructure,Academia,102,Hardware,,,4,4,1.000,Repeat founders,First time founders,Repeat founders,Big tech background,Academia background,Startup background,PhD,Faculty,Bachlor's,6,Businesses,,,Contracts,,5,4,4,170.08,0,5,,,18.79,47.4,82.49,208.54,,,,,M&A,2019,596,31.72,175.08,596,31.72,Yes,Peter Hebert,"Cisco acquired, bachelor's founder went back and got MS/PhD in 3 years",
Mahana Therapeutics,2018,4,HealthTech,,Other,0,Software,,,2,1,0.500,Exited founders,First time founders,,Startup background,Big tech background,,Bachlor's,Bachlor's,,7,Businesses,Government,Consumers,Contracts,,10,5,7,83,0,0,,59.01,75,140,,,,,,2.37,Didn't Exit,,,,83,140,2.37,Yes,,Robert Paull is a cofounder,
Matterport,2011,10,VR/AR,CV,Other,24,Software,Hardware,,2,1,0.500,Repeat founders,First time founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,5,Businesses,Consumers,,Contracts,Unit Sale,5,9,2,468.58,0,1.5,0.29,19.86,28.83,75.88,200,355,407.4,,,,IPO,2021,2870,144.51,470.08,2870,144.51,Yes,Peter Hebert,Chief Scientist was early Paypal employee,
Miga Health,2021,1,HealthTech,,Other,0,Software,Service,Biology,2,2,1.000,First time founders,Exited founders,,Big tech background,Startup background,,PhD,Bachlor's,,5,Consumers,,,Subscription,Unit Sale,10,2,7,12,0,0,,47,,,,,,,,1.00,Didn't Exit,,,,12,47,1.00,,Deena Shakir,,
Molecular Imprints,2001,13,NanoTech,Infrastructure,Academia,114,Service,Hardware,,1,1,1.000,First time founders,,,Academia background,,,PhD,,,6,Businesses,,,Contracts,,5,5,2,81.21,3,8.5,,,22.08,83.02,150.96,,,,,,M&A,2014,98,4.44,92.71,98,4.44,Yes,Shahin Farshchi,Sold other part to Leap Magic,
Moment,2013,9,Camera,,Other,3,Hardware,Service,Software,3,1,0.333,Repeat founders,First time founders,Repeat founders,Startup background,Startup background,Startup background,Bachlor's,Bachlor's,Master's,7,Consumers,,,Unit Sale,,5,2,1,5.86,0,1,,6.03,18,,,,,,,2.99,Didn't Exit,,,,6.86,18,2.99,,,,
MosaicML,2020,2,AI,,Academia,0,Software,,,3,3,1.000,First time founders,First time founders,First time founders,Academia background,Big tech background,Academia background,Faculty,PhD,PhD,9,Businesses,Consumers,,Other,,6,6,2,33.73,0,0,,52,136.73,,,,,,,2.63,Didn't Exit,,,,33.73,136.73,2.63,,Shahin Farshchi,"MIT spinout, Prof Michael Carbin, cofounder was Nervana founder",
mPharma,2013,9,HealthTech,,Other,0,Service,Data,,3,2,0.667,First time founders,Repeat founders,Repeat founders,Other,Government background,Other,Bachlor's,Bachlor's,Bachlor's,7,Consumers,Businesses,,Subscription,Contracts,10,2,7,75.76,1.5,5,,1.5,4.1,12.58,25.6,54.73,113.52,,,75.68,Didn't Exit,,,,82.26,113.52,75.68,Yes,,,
Multiply Labs,2016,6,Robotics,Manufacturing,Academia,6,Hardware,Biology,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,Postdoc,PhD,,6,Businesses,Consumers,,Contracts,Unit Sale,8,6,5,25.15,0.005,,1.71,,64.54,,,,,,,37.74,Didn't Exit,,,,25.155,64.54,37.74,,Brandon Reeves,MIT spinout,
Mythic,2012,10,AI,Infrastructure,Academia,9,Hardware,,,2,2,1.000,First time founders,First time founders,,Academia background,Academia background,,PhD,PhD,,7,Businesses,,,Unit Sale,,5,6,2,156.42,2.02,0,,,15.8,49,160,230,470,,,29.75,Didn't Exit,,,,158.44,470,29.75,Yes,Shahin Farshchi,Got a lot of grants from DoD and USAF early on,
Nanosys,2001,21,NanoTech,Infrastructure,Academia,89,Hardware,,,2,1,0.500,First time founders,Repeat founders,,Academia background,Finance background,,Faculty,Master's,,7,Businesses,,,Contracts,,5,6,2,218.26,11,18.99,,,3.4,31,91.02,205.74,125.55,176,120,35.29,Didn't Exit,,,,248.25,120,35.29,Yes,Josh Wolfe,Larry Bock was cofounder,
Neo,2019,3,AI,FinTech,Academia,0,Software,Service,,3,2,0.667,First time founders,First time founders,Repeat founders,Big tech background,Academia background,Big tech background,Master's,PhD,Bachlor's,9,Businesses,,,Other,,5,2,2,13,0,0,,13,60,,,,,,,4.62,Didn't Exit,,,,13,60,4.62,,Deena Shakir,"Commission based model. CPA, Stanford ML PhD, Intuit PM",
Nervana Systems,2014,2,AI,Infrastructure,Corporation,0,Software,Hardware,,3,3,1.000,First time founders,First time founders,First time founders,Academia background,Academia background,Big tech background,Postdoc,PhD,PhD,6,Businesses,Government,,Subscription,,5,4,2,24.4,0,0,,6.5,11.37,83.48,,,,,,,M&A,2016,408,62.77,24.4,408,62.77,Yes,Shahin Farshchi,"Naveen Rao board member at Square, exited to Intel",
Nomic,2018,4,BioTech,NanoTech,Academia,0,Service,Software,,4,4,1.000,First time founders,First time founders,First time founders,Academia background,Big tech background,Academia background,PhD,Master's,Postdoc,7,Businesses,Government,,Contracts,,9,6,7,17.17,0.75,0,1.65,,68,,,,,,,41.21,Didn't Exit,,,,17.92,68,41.21,,,McGil spinout,
Noon,2014,6,IoT,Infrastructure,Other,0,Hardware,,,3,1,0.333,Exited founders,First time founders,First time founders,Startup background,Big tech background,Big tech background,Master's,Bachlor's,PhD,7,Consumers,Businesses,,Unit Sale,,5,2,1,58,0,0,,,30.76,138,,,,,,4.49,M&A,2020,,,58,138,4.49,Yes,Bilal Zuberi,,
Nozomi Networks,2013,9,Security,Infrastructure,Other,1,Software,Service,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,PhD,PhD,,4,Businesses,,,Contracts,,6,3,4,154.05,0,0,,6.38,18.75,60,140,473.84,,,,74.27,Didn't Exit,,,,154.05,473.84,74.27,Yes,Bilal Zuberi,Italian startup,
Oasis Labs,2017,5,Security,Blockchain,Academia,0,Software,,,4,4,1.000,First time founders,First time founders,Exited founders,Academia background,Academia background,Big tech background,Faculty,Postdoc,PhD,7,Businesses,,,Unit Sale,,6,3,4,48,0,0.66,,,170,,,,,,,1.00,Didn't Exit,,,,48.66,170,1.00,,Brandon Reeves,"3 of 4 cofounders left after 1 year, backed by a16z Accel Binance and other primes. Might be dead, no follow on investments in A1 round",
Octant Bio,2017,5,BioTech,,Academia,0,Biology,Service,Software,2,1,0.500,First time founders,First time founders,,Academia background,Big tech background,,Faculty,PhD,,7,Businesses,Government,,Contracts,,10,5,7,135,0,0,,12,80,320,,,,,,26.67,Didn't Exit,,,,135,320,26.67,Yes,,"One cofounder is NYU JD, was VP & General Counsil at Google and Dropbox",
OpenSpace,2017,5,PropTech,CV,Other,2,Software,Hardware,Data,3,3,1.000,Exited founders,Repeat founders,Exited founders,Startup background,Academia background,Startup background,Master's,PhD,PhD,7,Businesses,,,Subscription,,5,8,2,189.68,0.98,0,,13.92,40,75.9,455,942,,,,67.67,Didn't Exit,,,,190.66,942,67.67,Yes,Bilal Zuberi,"1 founder exited to 3D Robotics and was EiR at Lux, 1 founder exited to Twitter",
Orbital Insight,2013,9,CV,AI,Other,4,Software,Data,,1,1,1.000,First time founders,,,Big tech background,,,PhD,,,7,Businesses,Government,,Contracts,,5,5,4,203.65,0,0,,,41.8,80,280,480,323.2,,,7.73,Didn't Exit,,,,203.65,323.2,7.73,Yes,Bilal Zuberi,,
Performance Drone Works,2019,3,Drones,Defense,Corporation,3,Hardware,Software,,2,1,0.500,Repeat founders,Repeat founders,,Startup background,Startup background,,Bachlor's,Bachlor's,,3,Government,,,Contracts,,4,9,3,0,0,0,,0,,,,,,,,0.00,Didn't Exit,,,,0,0,0.00,,,"Drone Racing League spinout, same cofounders",
Pinscreen,2015,7,AI,VR/AR,Academia,5,Software,,,2,1,0.500,First time founders,First time founders,,Academia background,Other,,Faculty,Master's,,6,Consumers,Businesses,,Subscription,Unit Sale,4,8,1,3.8,0,0,,7.2,8,,,,,,,1.11,Didn't Exit,,,,3.8,8,1.11,,,,
Pivotal Commware,2016,6,Connectivity,Infrastructure,Corporation,12,Hardware,Service,,1,1,1.000,First time founders,,,Big tech background,,,Postdoc,,,4,Consumers,Businesses,,Unit Sale,Contracts,6,7,2,91.75,0,0,,,51,89.75,168,318,,,,6.24,Didn't Exit,,,,91.75,318,6.24,Yes,Peter Hebert,Intellectual Ventures spinout,
Planet,2010,11,Aerospace,CV,Government,12,Data,Software,,3,3,1.000,First time founders,First time founders,First time founders,Government background,Government background,Government background,PhD,Master's,Postdoc,7,Businesses,Government,University,Contracts,,7,3,3,586.03,0,0,,,38.42,378,881.05,1770,,,,,IPO,2021,2800,72.88,586.03,2800,72.88,Yes,Shahin Farshchi,NASA spinout,
Plexium,2017,5,BioTech,,Corporation,3,Biology,Service,,2,2,1.000,Exited founders,First time founders,,Startup background,Big tech background,,PhD,Postdoc,,5,Businesses,Government,,Contracts,,10,7,7,165,0,0,,,103,222,,,,,,2.16,Didn't Exit,,,,165,222,2.16,Yes,,None of the cofounders are still at company,
Primer,2015,7,AI,,Corporation,1,Software,,,1,1,1.000,Repeat founders,,,Startup background,,,PhD,,,8,Businesses,Government,,Contracts,,6,5,4,167.8,0.05,0,,13.5,41,190,554.89,,,,,41.10,Didn't Exit,,,,167.85,554.89,41.10,Yes,,"Founder founded Quid, acquired in 2020",
Recursion Pharma,2013,8,BioTech,AI,Academia,34,Biology,Service,Software,3,3,1.000,Repeat founders,First time founders,Exited founders,Startup background,Academia background,Startup background,PhD,PhD,Faculty,8,Businesses,Government,,Contracts,,10,6,7,905.55,3.1,32.39,,0.85,50.3,267.5,647.06,1050,,,,,IPO,2021,2750,54.67,941.04,2750,54.67,Yes,,,
Relativity Space,2015,7,Aerospace,Manufacturing,Corporation,1,Hardware,Service,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,Master's,Bachlor's,,7,Businesses,Government,University,Contracts,,6,10,3,1330,0,0,1.71,3.64,22.4,80,400,2300,4150,,,1140.11,Didn't Exit,,,,1330,4150,1140.11,Yes,Shahin Farshchi,"Tim Ellis spun tech out of Blue Origins, met Jordan Noone (SpaceX) at USC RPL",
Resilience,2020,2,BioTech,Manufacturing,Corporation,0,Biology,Service,,3,2,0.667,Repeat founders,Exited founders,Repeat founders,Big tech background,Big tech background,Finance background,PhD,PhD,Master's,4,Businesses,Government,,Contracts,,10,5,7,2030,0,0,,,135,1610,6000,9000,,,,66.67,Didn't Exit,,,,2030,9000,66.67,Yes,Josh Wolfe,"Three prominent biotech and pharma execs, low cost of capital",
Rigetti Computing,2013,9,Quantum,AI,Corporation,32,Software,Hardware,,1,1,1.000,First time founders,,,Big tech background,,,PhD,,,7,Businesses,Government,,Contracts,,7,8,4,186.06,8.6,12,1.71,25,80,190,415,,,,,,IPO,2022,1500,60.00,206.66,1500,60.00,Yes,,"Yale PhD on Quantum Computing, IBM spinout, went through YC",
Ripcord,2014,8,CV,Robotics,Other,6,Software,Service,Hardware,3,2,0.667,Exited founders,First time founders,First time founders,Big tech background,Big tech background,Finance background,Bachlor's,Bachlor's,Bachlor's,6,Businesses,Government,University,Contracts,,5,2,2,126.9,0,0,,,24.91,90,170,360,,,,14.45,Didn't Exit,,,,126.9,360,14.45,Yes,Peter Hebert,Alex Fielding,
Runway,2018,4,CV,AI,Corporation,0,Software,,,3,1,0.333,First time founders,First time founders,Repeat founders,Academia background,Big tech background,Other,Faculty,Master's,Master's,8,Consumers,Businesses,,Subscription,Contracts,5,4,1,43.5,0,0,,,32.5,200,,,,,,6.15,Didn't Exit,,,,43.5,200,6.15,Yes,Josh Wolfe,NYU media people,
Saildrone,2012,10,Drones,,Academia,3,Hardware,Data,Software,2,2,1.000,First time founders,First time founders,,Other,Academia background,,Bachlor's,Master's,,6,Businesses,Government,University,Contracts,,6,9,3,186.2,0,2.13,,,34,80,260,590,,,,17.35,Didn't Exit,,,,188.33,590,17.35,Yes,Bilal Zuberi,"Wind propulsion tech came from Richard Jenkins' 10 year research, underwater vehicle tech came from Dylan Owens' MIT research",
Science 37,2014,7,HealthTech,,Corporation,0,Software,Service,,2,2,1.000,First time founders,First time founders,,Big tech background,Big tech background,,Postdoc,PhD,,6,Businesses,Consumers,,Other,,9,1,5,341.5,0,0,,,19.25,112.7,203.96,125,250,,,,IPO,2021,1050,54.55,341.5,1050,54.55,Yes,,,
Senti Biosciences,2016,6,BioTech,,Academia,1,Biology,Service,,4,4,1.000,Repeat founders,Exited founders,Repeat founders,Academia background,Startup background,Academia background,Faculty,PhD,Faculty,3,Businesses,Government,,Contracts,,10,8,7,225.37,2.71,0,,,83,205,,,,,,,IPO,2022,601,7.24,228.08,601,7.24,Yes,,MIT spin out,
Shapeways,2007,14,Manufacturing,Infrastructure,Corporation,8,Service,Software,Hardware,3,2,0.667,Exited founders,First time founders,Exited founders,Startup background,Finance background,Startup background,Master's,Master's,Bachlor's,6,Businesses,Consumers,,Other,,6,3,2,182.96,0,1.2,,,15,30.08,53,99.88,191.49,200,,,IPO,2021,605,40.33,184.16,605,40.33,Yes,Josh Wolfe,Philips Electronics spinout,
Shiru,2019,3,BioTech,Food,Corporation,0,Other,,,1,1,1.000,Repeat founders,,,Big tech background,,,PhD,,,6,Businesses,,,Contracts,,7,5,7,20.5,0.06,0,1.71,13,59,,,,,,,4.54,Didn't Exit,,,,20.56,59,4.54,,Deena Shakir,"Jasmin was NYU PhD, Director at JUST, and Summer Associate at Lux (worked on Kallyope), YC '19",
SiBEAM,2004,7,Semiconductors,Infrastructure,Academia,7,Hardware,,,5,5,1.000,Exited founders,First time founders,First time founders,Startup background,Big tech background,Academia background,PhD,Faculty,PhD,6,Businesses,Government,,Unit Sale,Contracts,6,4,3,116.83,0,0,,,33,62,128,90.63,,,,,M&A,2011,24.96,0.76,116.83,24.96,0.76,Yes,Shahin Farshchi,"UC Berkeley spinout, died during 2008 recession",
Silicon Clocks,2006,4,Semiconductors,Infrastructure,Other,0,Hardware,Service,,1,0,0.000,First time founders,,,Big tech background,,,Master's,,,5,Businesses,,,Contracts,,6,4,3,32.85,0,0.35,,,,76,41.2,,,,,,M&A,2010,21,0.28,33.2,21,0.28,Yes,Shahin Farshchi,Also died in 2008 recession,
Siluria Technologies,2007,12,Energy,NanoTech,Academia,9,Biology,Service,,2,2,1.000,First time founders,Repeat founders,,Big tech background,Academia background,,PhD,Faculty,,6,Businesses,Government,,Contracts,,7,6,8,170.61,0,0,4.2,7.53,15.64,61.53,161.87,229.24,383.4,,,,M&A,2019,7,1.67,170.61,7,1.67,Yes,Shahin Farshchi,"MIT spinout, KP invested Jan 2019 got acquired for 7M Jul 2019",
SOLS Systems,2013,4,Manufacturing,CV,Corporation,0,Software,Hardware,Service,2,2,1.000,Repeat founders,First time founders,,Startup background,Big tech background,,Bachlor's,Bachlor's,,6,Consumers,Businesses,,Unit Sale,Contracts,6,5,2,23.7,0,0,,7.1,23.01,65.1,,,,,,9.17,M&A,2017,,,23.7,65.1,9.17,Yes,,Shapeways spinout,
Sourcegraph,2013,9,AI,Infrastructure,Other,1,Software,,,2,2,1.000,Repeat founders,First time founders,,Startup background,Big tech background,,Bachlor's,Bachlor's,,10,Businesses,Consumers,,Subscription,,5,3,2,223.11,0,0,,,32.52,61,103,750,2620,,,80.57,Didn't Exit,,,,223.11,2620,80.57,Yes,Peter Hebert,"Cofounder/CEO is CS prodigy, first employee at Bleacher Report and built apps at Stanford totaling 3.5M downloads, Palantir post grad, cofounded Blend Labs (IPO'd 2021, 3B+ post)",
